n,adc_buffer
207,0.9435756802558899
208,0.8819212317466736
209,0.7995222210884094
210,0.698378324508667
211,0.5808030366897583
212,0.4496113359928131
213,0.30784669518470764
214,0.15885813534259796
215,0.006135770119726658
216,-0.1467304676771164
217,-0.29614531993865967
218,-0.43861356377601624
219,-0.5707700252532959
220,-0.6895405650138855
221,-0.7920898199081421
222,-0.8760700821876526
223,-0.9394404888153076
224,-0.9807852506637573
225,-0.9990589022636414
226,-0.9939072728157043
227,-0.9653762578964233
228,-0.91420978307724
229,-0.8415391445159912
230,-0.7491363883018494
231,-0.6391147375106812
232,-0.5141027569770813
233,-0.3770003020763397
234,-0.23106101155281067
235,-0.07968093454837799
236,0.07356156408786774
237,0.22507967054843903
238,0.37131717801094055
239,0.5088179707527161
240,0.6343932747840881
241,0.7450417280197144
242,0.8382247090339661
243,0.9116889238357544
244,0.9637752175331116
245,0.9931932687759399
246,0.9993223547935486
247,0.9819453954696655
248,0.9415440559387207
249,0.8789970874786377
250,0.7958369255065918
251,0.6939584016799927
252,0.5758105516433716
253,0.4441137909889221
254,0.30200880765914917
255,0.15279430150985718
256,0.0
257,-0.1527913510799408
258,-0.30200594663619995
259,-0.4441137909889221
260,-0.5758081674575806
261,-0.6939584016799927
262,-0.7958350777626038
263,-0.8789956569671631
264,-0.9415440559387207
265,-0.9819447994232178
266,-0.9993223547935486
267,-0.9931936264038086
268,-0.9637760519981384
269,-0.9116889238357544
270,-0.8382263779640198
271,-0.7450437545776367
272,-0.6343955993652344
273,-0.5088205337524414
274,-0.37131717801094055
275,-0.22508257627487183
276,-0.0735645592212677
277,0.07968093454837799
278,0.23105810582637787
279,0.3770003020763397
280,0.5141001343727112
281,0.6391124129295349
282,0.7491363883018494
283,0.8415375351905823
284,0.91420978307724
285,0.9653754830360413
286,0.9939069747924805
287,0.9990589022636414
288,0.9807858467102051
289,0.9394415616989136
290,0.8760715126991272
291,0.7920916676521301
292,0.6895405650138855
293,0.5707724690437317
294,0.43861624598503113
295,0.29614531993865967
296,0.14673343300819397
297,-0.006135770119726658
298,-0.15885517001152039
299,-0.3078438639640808
300,-0.4496113359928131
301,-0.5808005332946777
302,-0.6983762383460999
303,-0.7995203733444214
304,-0.8819212317466736
305,-0.9435756802558899
306,-0.9831048846244812
307,-0.9995105862617493
308,-0.9924795031547546
309,-0.962104082107544
310,-0.909168004989624
311,-0.8348488211631775
312,-0.7409511208534241
313,-0.6296263933181763
314,-0.5035409927368164
315,-0.3656061291694641
316,-0.21910415589809418
317,-0.0674426481127739
318,0.08579730987548828
319,0.2370191514492035
320,0.3826834261417389
321,0.5193462371826172
322,0.6438315510749817
323,0.7531726360321045
324,0.8448535799980164
325,0.9166618585586548
326,0.9669764637947083
327,0.9945458173751831
328,0.9987954497337341
329,0.9795513153076172
330,0.9373390078544617
331,0.8730785250663757
332,0.7883464097976685
333,0.6850707530975342
334,0.5657318234443665
335,0.43308568000793457
336,0.2902846932411194
337,0.14065559208393097
338,-0.012271540239453316
339,-0.16491001844406128
340,-0.3136817514896393
341,-0.4550750255584717
342,-0.5857978463172913
343,-0.7027415037155151
344,-0.803207516670227
345,-0.8847804069519043
346,-0.9456073045730591
347,-0.9841915369033813
348,-0.99969881772995
349,-0.9916911125183105
350,-0.9604305028915405
351,-0.9065786600112915
352,-0.8314695954322815
353,-0.7368026971817017
354,-0.6248595118522644
355,-0.498218297958374
356,-0.3598950505256653
357,-0.21310630440711975
358,-0.06132074072957039
359,0.09190722554922104
360,0.24298018217086792
361,0.38833773136138916
362,0.5245896577835083
363,0.6485022306442261
364,0.7572088241577148
365,0.8481043577194214
366,0.9191138744354248
367,0.9685038328170776
368,0.9951847195625305
369,0.9984567761421204
370,0.978317379951477
371,0.9351680278778076
372,0.8700869679450989
373,0.7845418453216553
374,0.6806010007858276
375,0.5606510639190674
376,0.4275550842285156
377,0.28440219163894653
378,0.13458071649074554
379,-0.01840638555586338
380,-0.1709618866443634
381,-0.3194960355758667
382,-0.46053871512413025
383,-0.5907485485076904
384,-0.7071024775505066
385,-0.8068323731422424
386,-0.8876396417617798
387,-0.9475677013397217
388,-0.9852776527404785
389,-0.9998117685317993
390,-0.9909026622772217
391,-0.9586853981018066
392,-0.903989315032959
393,-0.828029453754425
394,-0.7326542735099792
395,-0.62004554271698
396,-0.49289819598197937
397,-0.35415685176849365
398,-0.20711137354373932
399,-0.05519420653581619
400,0.0980171412229538
401,0.2489229142665863
402,0.3939865231513977
403,0.5297936201095581
404,0.6531728506088257
405,0.7611880302429199
406,0.8513551950454712
407,0.9214966893196106
408,0.9700312614440918
409,0.9957486391067505
410,0.9981181025505066
411,0.9770097732543945
412,0.9329928159713745
413,0.8670299053192139
414,0.7807372212409973
415,0.6760843992233276
416,0.5555702447891235
417,0.42199230194091797
418,0.2785196900367737
419,0.1284956932067871
420,-0.02453524060547352
421,-0.17699497938156128
