n,input_signal,filtered_signal,output_freq,input_fft_mag,filtered_fft_mag,
1849,-0.41128313541412354,3.8883485794067383,0.2537873387336731,0.419346421957016,6600.0,
1850,1.1308962106704712,2.3011462688446045,0.5297613739967346,0.4194953739643097,6608.0,
1851,-0.4063204526901245,3.8719208240509033,0.2551093101501465,0.4196004867553711,6616.0,
1852,1.1293995380401611,2.415982961654663,0.5285402536392212,0.41972845792770386,6624.0,
1853,-0.40133368968963623,3.85060715675354,0.2564396262168884,0.41984981298446655,6632.0,
1854,1.1280593872070312,2.5311102867126465,0.5273139476776123,0.4199202358722687,6640.0,
1855,-0.39599645137786865,3.8242197036743164,0.2577900290489197,0.41998735070228577,6648.0,
1856,1.126236915588379,2.6460518836975098,0.5261061191558838,0.4200418293476105,6656.0,
1857,-0.3913158178329468,3.7930221557617188,0.25915902853012085,0.42006349563598633,6664.0,
1858,1.1252323389053345,2.76076078414917,0.5249087810516357,0.4200650453567505,6672.0,
1859,-0.3866128921508789,3.7561757564544678,0.26054316759109497,0.42006146907806396,6680.0,
1860,1.1238493919372559,2.8751487731933594,0.5237307548522949,0.4200241267681122,6688.0,
1861,-0.38164234161376953,3.7148098945617676,0.2619292736053467,0.41992267966270447,6696.0,
1862,1.1219099760055542,2.988579273223877,0.5225696563720703,0.41987133026123047,6704.0,
1863,-0.37698936462402344,3.6684632301330566,0.2633402943611145,0.41969406604766846,6712.0,
1864,1.12087881565094,3.1009280681610107,0.5214288830757141,0.4195915758609772,6720.0,
1865,-0.3724147081375122,3.6165146827697754,0.26475775241851807,0.4193398952484131,6728.0,
1866,1.1193088293075562,3.212695837020874,0.5203089714050293,0.41913747787475586,6736.0,
1867,-0.36685240268707275,3.559567451477051,0.2661716938018799,0.4188888967037201,6744.0,
1868,1.1177949905395508,3.3223283290863037,0.5192174911499023,0.41862329840660095,6752.0,
1869,-0.3625009059906006,3.497723340988159,0.2676210403442383,0.41833436489105225,6760.0,
1870,1.1161088943481445,3.4297983646392822,0.5181511640548706,0.4179900288581848,6768.0,
1871,-0.3590162992477417,3.431401014328003,0.26906442642211914,0.4176647365093231,6776.0,
1872,1.1152217388153076,3.536339282989502,0.5171141028404236,0.4172934591770172,6784.0,
1873,-0.35290980339050293,3.3588039875030518,0.27052003145217896,0.41690126061439514,6792.0,
1874,1.113879919052124,3.640153408050537,0.516106367111206,0.41648417711257935,6800.0,
1875,-0.3481621742248535,3.282097816467285,0.27197265625,0.41607365012168884,6808.0,
1876,1.1118038892745972,3.7413032054901123,0.5151177644729614,0.4156293570995331,6816.0,
1877,-0.3439674377441406,3.2011046409606934,0.2734413743019104,0.4151729643344879,6824.0,
1878,1.1108511686325073,3.8395297527313232,0.5141542553901672,0.4147054851055145,6832.0,
1879,-0.3391280174255371,3.114379405975342,0.2748810052871704,0.4142375886440277,6840.0,
1880,1.1095561981201172,3.934953212738037,0.5132296085357666,0.4137602746486664,6848.0,
1881,-0.335158109664917,3.0236055850982666,0.2763313055038452,0.4132770895957947,6856.0,
1882,1.1077766418457031,4.027547836303711,0.5123312473297119,0.4127987027168274,6864.0,
1883,-0.3301161527633667,2.9284138679504395,0.277768611907959,0.4123218357563019,6872.0,
1884,1.1066533327102661,4.116214752197266,0.5114671587944031,0.411843866109848,6880.0,
1885,-0.3254131078720093,2.8287298679351807,0.2791993021965027,0.411383718252182,6888.0,
1886,1.10538911819458,4.200727939605713,0.510630190372467,0.4109311103820801,6896.0,
1887,-0.32143712043762207,2.7250051498413086,0.28061819076538086,0.4104825258255005,6904.0,
1888,1.104332685470581,4.282189846038818,0.5098227858543396,0.4100581705570221,6912.0,
1889,-0.3164912462234497,2.6168150901794434,0.28201550245285034,0.4096488058567047,6920.0,
1890,1.1023277044296265,4.359941482543945,0.509045422077179,0.40925824642181396,6928.0,
1891,-0.3112219572067261,2.5050764083862305,0.28340378403663635,0.4088931679725647,6936.0,
1892,1.1008185148239136,4.432336807250977,0.5082992911338806,0.4085492491722107,6944.0,
1893,-0.30785059928894043,2.39026141166687,0.28476056456565857,0.40822580456733704,6952.0,
1894,1.0995327234268188,4.500779628753662,0.5075715184211731,0.40793099999427795,6960.0,
1895,-0.303594172000885,2.271515369415283,0.2861092984676361,0.4076635539531708,6968.0,
1896,1.0991207361221313,4.564218044281006,0.5068661570549011,0.4074248671531677,6976.0,
