n,input_signal,output_freq,output_fft_mag
40,-0.0001457699399907142,320.0,2.6718087610788643e-05
41,-2.219068119302392e-05,328.0,0.00023086395231075585
42,5.7630953961052e-05,336.0,0.00033697759499773383
43,-7.359024311881512e-05,344.0,0.00026858007186092436
44,-4.6600678615504876e-05,352.0,0.0003265459381509572
45,-2.8110778657719493e-05,360.0,3.779798134928569e-05
46,-2.458214294165373e-05,368.0,0.00024125429627019912
47,2.921203849837184e-05,376.0,0.0010910889832302928
48,-9.838638652581722e-05,384.0,0.001090194913558662
49,-3.2494746847078204e-05,392.0,0.0008014377672225237
50,-0.00012822190183214843,400.0,1023.9902954101562
51,-3.0138176953187212e-05,408.0,0.0007629339233972132
52,-6.067499271011911e-05,416.0,0.001111133606173098
53,-4.662814171751961e-05,424.0,0.0011313145514577627
54,-3.654911779449321e-05,432.0,0.00021542778995353729
55,-6.528625817736611e-05,440.0,6.57142445561476e-05
56,-4.891600838163868e-06,448.0,0.0002956649987027049
57,4.433059075381607e-08,456.0,0.00029161336715333164
58,-7.566940621472895e-05,464.0,0.00036347380955703557
59,4.0699967939872295e-05,472.0,0.0002354173338972032
60,-0.00015877549594733864,480.0,6.208276317920536e-05
61,2.0779756596311927e-05,488.0,8.654603152535856e-05
62,-9.377917740494013e-05,496.0,7.280900899786502e-05
63,-0.00015641350182704628,504.0,0.0002904565481003374
64,-4.8210487875621766e-05,512.0,0.00021841541456524283
65,-8.74298857524991e-05,520.0,0.00015922579041216522
66,2.526420576032251e-05,528.0,7.951904990477487e-05
67,-3.301679498690646e-06,536.0,3.139568798360415e-05
68,-7.122426177375019e-05,544.0,7.75094231357798e-05
69,8.592840458732098e-06,552.0,0.00015741039533168077
70,-0.00019393952970858663,560.0,0.0001183877611765638
71,7.441634079441428e-05,568.0,5.0266531616216525e-05
72,-0.00017118013056460768,576.0,4.134288974455558e-05
73,-0.00015731214080005884,584.0,4.3539723264984787e-05
74,-8.486594742862508e-05,592.0,5.289060209179297e-05
75,-0.00025793357053771615,600.0,0.00017779399058781564
76,7.76723027229309e-06,608.0,6.811654020566493e-05
77,1.840705590439029e-05,616.0,0.00010386181384092197
78,-0.00010925323294941336,624.0,5.3923202358419076e-05
79,1.4211767847882584e-05,632.0,0.00015438169066328555
80,-0.00015040099970065057,640.0,0.00023585674352943897
81,5.025409336667508e-05,648.0,0.00024961918825283647
82,-0.00031405521440319717,656.0,8.795382018433884e-05
83,-6.320851389318705e-05,664.0,8.775811147643253e-05
84,-0.0002504236181266606,672.0,4.482699296204373e-05
85,-0.00036029063630849123,680.0,5.9674919612007216e-05
86,3.947450022678822e-05,688.0,9.2027970822528e-05
87,-0.0003032824315596372,696.0,6.924971239641309e-05
88,-0.0001474680902902037,704.0,2.640579805301968e-05
89,-2.5292427380918525e-05,712.0,3.808230394497514e-05
90,-0.0002885692520067096,720.0,4.0547456592321396e-05
91,0.00019004338537342846,728.0,9.402947762282565e-05
92,-0.0007075784960761666,736.0,5.627580321743153e-05
93,-4.0900398744270205e-05,744.0,8.146705658873543e-05
94,-0.0011736874002963305,752.0,8.053508645389229e-05
95,-0.0007671387284062803,760.0,2.356048753426876e-05
96,-0.0002467094745952636,768.0,2.1693555027013645e-05
97,-0.0015373675851151347,776.0,8.068908209679648e-05
98,7.2343202191405e-05,784.0,6.849907367723063e-05
99,-0.0013695688685402274,792.0,2.2312491637421772e-05
100,433.7713623046875,800.0,7.055351306917146e-05
101,505.9764709472656,808.0,1.5138986782403663e-05
102,0.0012237743940204382,816.0,6.208220293046907e-05
103,0.0001324042386841029,824.0,8.875574712874368e-05
104,0.0012053919490426779,832.0,6.421314174076542e-05
105,0.00040092424023896456,840.0,5.8420315326657146e-05
106,0.00034063225029967725,848.0,7.540083606727421e-05
107,0.0008767539402469993,856.0,8.350823190994561e-05
108,3.653117528301664e-05,864.0,8.228260412579402e-05
109,0.00022543779050465673,872.0,8.422130485996604e-05
110,7.446665404131636e-05,880.0,6.375695375027135e-05
111,-4.0575177990831435e-05,888.0,5.3788331570103765e-05
